product_id,store_id,order_date,selling_price,customer_id,order_id
P0353,S0090,2021-08-02,3649,123549736,1111139711
P0131,S0117,2024-04-24,4129,123527577,1111137877
P0311,S0067,2024-07-03,1618,123544435,1111162708
P0603,S0038,2023-01-12,2218,123535771,1111148103
P0318,S0045,2022-04-06,4387,123475264,1111132591
P0481,S0113,2024-09-24,777,123567029,1111135216
P0427,S0097,2024-02-18,4498,123535555,1111159120
P0372,S0090,2024-04-29,2934,123557635,1111150028
P0328,S0095,2024-11-07,3769,123545052,1111185708
P0546,S0028,2021-02-07,2645,123548349,1111163439
P0206,S0009,2023-03-31,4764,123510363,1111136009
P0527,S0131,2021-07-23,433,123470675,1111135798
P0735,S0058,2023-02-05,2411,123481180,1111122666
P0311,S0027,2021-08-15,4074,123492135,1111130132
P0220,S0067,2024-03-10,808,123502745,1111135009
P0087,S0008,2021-05-26,397,123469221,1111179990
P0183,S0051,2023-06-16,1337,123461729,1111178006
P0491,S0040,2024-02-16,4907,123517728,1111166918
P0520,S0094,2024-09-14,373,123558209,1111137309
P0195,S0052,2021-12-08,4702,123557639,1111139516
P0312,S0026,2022-08-04,189,123529270,1111167189
P0356,S0108,2021-08-05,1831,123471368,1111129798
P0241,S0046,2024-08-03,2547,123535706,1111122440
P0162,S0070,2021-05-29,3300,123524713,1111138726
P0428,S0138,2021-04-02,907,123480955,1111160011
P0241,S0085,2022-11-30,1108,123529408,1111181602
P0185,S0074,2021-08-14,2987,123554140,1111175498
P0059,S0101,2022-01-07,110,123542748,1111153122
P0608,S0008,2021-08-13,1991,123538280,1111174364
P0718,S0122,2022-08-05,3710,123487199,1111112890
P0481,S0094,2021-07-24,1629,123457737,1111180111
P0499,S0139,2022-04-10,2306,123524238,1111143982
P0695,S0050,2022-09-29,4588,123564453,1111180670
P0275,S0133,2023-08-30,4746,123530816,1111136538
P0083,S0093,2021-11-12,646,123538540,1111152945
P0210,S0038,2024-12-19,4390,123519929,1111137999
P0015,S0074,2023-10-06,4242,123490282,1111114024
P0572,S0023,2024-07-02,2368,123516008,1111123125
P0405,S0110,2022-02-05,1687,123498222,1111147099
P0061,S0067,2022-01-17,2652,123551375,1111165220
P0408,S0031,2023-01-10,3257,123480489,1111169228
P0131,S0107,2021-12-01,4437,123529841,1111136870
P0078,S0008,2022-09-30,3572,123556830,1111137339
P0417,S0104,2021-09-21,4663,123510116,1111113802
P0555,S0094,2021-12-24,2424,123544149,1111165475
P0509,S0090,2022-06-21,3572,123506241,1111166220
P0055,S0130,2023-08-20,2537,123559980,1111155435
P0311,S0115,2024-11-18,3273,123505602,1111156117
P0572,S0073,2022-04-26,2144,123466002,1111133149
P0132,S0102,2023-08-11,3726,123486415,1111183531
P0336,S0012,2021-02-18,1091,123560338,1111162528
P0735,S0117,2022-11-07,2869,123467459,1111167871
P0406,S0024,2023-09-08,1981,123558811,1111121034
P0171,S0049,2021-12-19,4051,123558979,1111163940
P0356,S0031,2023-12-12,2747,123567258,1111179563
P0333,S0044,2022-01-17,4115,123559473,1111115217
P0665,S0042,2024-06-16,4954,123545624,1111185335
P0018,S0067,2022-01-22,4390,123513777,1111123736
P0694,S0116,2023-09-23,2979,123516296,1111148228
P0144,S0020,2024-04-23,1420,123521104,1111158374
P0420,S0105,2023-04-22,3779,123562281,1111128489
P0699,S0108,2022-05-08,973,123478312,1111139308
P0350,S0072,2022-11-15,3217,123527865,1111179193
P0260,S0022,2023-01-09,4256,123472226,1111181933
P0117,S0031,2023-07-19,294,123482345,1111137026
P0663,S0116,2022-10-23,3502,123521818,1111136814
P0615,S0094,2022-03-14,3120,123481569,1111113982
P0169,S0082,2024-02-18,1375,123487713,1111135509
P0500,S0027,2022-01-03,1670,123562210,1111182521
P0671,S0043,2024-10-31,1567,123565536,1111175043
P0051,S0021,2022-01-07,819,123495097,1111158938
P0174,S0008,2021-03-18,4482,123511163,1111172127
P0144,S0005,2024-12-23,4341,123499884,1111142162
P0611,S0016,2022-05-13,152,123466170,1111113447
P0185,S0035,2023-11-06,1769,123514632,1111122934
P0185,S0038,2022-11-08,1469,123462465,1111157025
P0642,S0098,2021-05-09,3189,123508802,1111174287
P0047,S0031,2023-01-18,713,123538281,1111147630
P0512,S0002,2022-03-06,1578,123492256,1111151847
P0366,S0095,2022-05-26,530,123508719,1111134630
P0328,S0113,2023-04-21,868,123515317,1111118731
P0552,S0028,2022-04-08,307,123551087,1111177324
P0549,S0061,2022-06-27,2168,123507286,1111183902
P0141,S0138,2024-07-18,2122,123469783,1111142174
P0328,S0088,2022-08-18,4669,123524526,1111185039
P0144,S0028,2021-08-15,918,123499168,1111130816
P0364,S0037,2022-09-15,2536,123461031,1111144937
P0364,S0038,2023-08-21,498,123549384,1111115196
P0181,S0085,2024-08-12,3679,123550339,1111154609
P0260,S0115,2021-02-06,1736,123480651,1111113793
P0601,S0008,2023-08-18,3676,123539218,1111184251
P0080,S0126,2023-06-23,228,123489641,1111167178
P0185,S0051,2022-04-09,3734,123460952,1111111280
P0116,S0129,2023-08-31,4525,123558203,1111145355
P0212,S0001,2023-02-09,3395,123514771,1111151263
P0051,S0077,2023-11-16,2122,123522014,1111169465
P0327,S0070,2024-09-29,3619,123511274,1111168113
P0116,S0080,2022-06-24,2392,123481104,1111173320
P0108,S0038,2023-01-25,3331,123484802,1111120085
P0341,S0094,2024-09-15,3518,123487924,1111178750
P0226,S0051,2021-03-31,4720,123541721,1111112760
P0453,S0105,2021-03-12,370,123542908,1111167328
P0116,S0126,2021-09-07,3343,123544835,1111174259
P0662,S0122,2021-03-13,3888,123526991,1111173206
P0282,S0097,2022-03-18,3002,123483074,1111136579
P0392,S0024,2024-07-16,1139,123513213,1111151914
P0226,S0101,2022-11-19,1475,123464264,1111123643
P0129,S0037,2023-05-15,839,123528358,1111157425
P0496,S0061,2024-03-16,798,123563027,1111180161
P0103,S0068,2022-09-30,1317,123475742,1111118402
P0312,S0001,2022-05-21,3929,123506542,1111146907
P0276,S0038,2021-12-20,4950,123540421,1111148502
P0015,S0014,2021-02-24,2520,123562607,1111183329
P0196,S0094,2022-06-09,3140,123548938,1111179229
P0372,S0127,2023-09-02,933,123562625,1111145529
P0227,S0062,2022-07-15,3011,123525842,1111122739
P0611,S0027,2021-03-15,495,123462317,1111134067
P0533,S0125,2024-02-26,786,123471799,1111180659
P0454,S0139,2024-11-21,1690,123480496,1111115906
P0651,S0071,2022-02-22,4158,123529436,1111157748
P0703,S0056,2022-09-23,4657,123459546,1111158268
P0689,S0020,2022-06-14,1214,123480433,1111122018
P0162,S0040,2022-06-27,4407,123506020,1111140725
P0210,S0003,2021-06-20,1792,123537882,1111176921
P0512,S0060,2024-02-05,3958,123509454,1111160679
P0182,S0119,2023-07-18,2851,123542474,1111186414
P0174,S0061,2023-06-13,4548,123512924,1111169810
P0016,S0032,2021-04-16,1791,123503611,1111126350
P0448,S0028,2024-01-21,945,123522041,1111119121
P0100,S0058,2024-12-12,4406,123561102,1111126784
P0390,S0106,2022-02-28,4263,123541758,1111134266
P0325,S0084,2022-12-06,4455,123463501,1111158625
P0737,S0132,2022-07-27,117,123546254,1111124021
P0371,S0085,2022-03-24,2711,123534033,1111155431
P0572,S0135,2023-02-28,3222,123494999,1111138411
P0539,S0012,2023-08-20,1161,123481091,1111175475
P0509,S0082,2022-08-19,2716,123545952,1111130143
P0364,S0118,2023-01-01,2671,123525995,1111173710
P0286,S0142,2022-04-13,190,123557138,1111164675
P0204,S0051,2022-12-17,420,123523799,1111113942
P0456,S0026,2023-02-13,2546,123530031,1111137587
P0427,S0005,2022-10-03,3792,123485007,1111151345
P0475,S0115,2023-02-21,3802,123522265,1111155161
P0286,S0043,2021-08-13,540,123560597,1111124073
P0311,S0062,2021-05-27,2500,123538296,1111135835
P0492,S0069,2023-01-31,4805,123567584,1111149848
P0571,S0060,2023-11-17,3073,123478610,1111141550
P0116,S0112,2022-02-24,4001,123566257,1111180196
P0171,S0062,2024-04-08,565,123485164,1111148198
P0428,S0126,2022-08-21,2781,123537177,1111144608
P0355,S0131,2021-07-27,1042,123521761,1111153936
P0327,S0018,2021-01-03,4128,123474254,1111146597
P0512,S0091,2022-08-29,2649,123514816,1111175343
P0204,S0097,2021-09-30,1916,123480024,1111120724
P0362,S0082,2023-05-07,3243,123528986,1111151534
P0417,S0089,2022-05-15,3187,123566489,1111116810
P0134,S0025,2024-04-08,4439,123527884,1111118574
P0729,S0104,2021-05-29,4487,123514006,1111133636
P0117,S0097,2023-04-13,4310,123472150,1111120453
P0377,S0117,2022-11-25,1547,123490226,1111121032
P0059,S0054,2022-10-27,3933,123482807,1111138709
P0185,S0036,2024-05-20,1780,123553249,1111177331
P0536,S0044,2022-11-16,974,123550776,1111188021
P0526,S0028,2023-03-13,4009,123533788,1111120038
P0218,S0125,2023-10-02,4684,123542057,1111166174
P0061,S0027,2021-09-23,991,123540739,1111133554
P0729,S0037,2024-02-09,1723,123515276,1111180000
P0391,S0094,2022-06-14,1040,123533040,1111145639
P0682,S0055,2023-09-23,1383,123534161,1111113081
P0590,S0130,2021-04-13,3575,123496471,1111118332
P0103,S0128,2023-02-20,3753,123543494,1111172989
P0174,S0008,2023-11-08,1118,123465615,1111150117
